item_id,cefr_grade,learning_focus,text_sample,language_analysis.token_count,language_analysis.distinct_tokens,language_analysis.grammatical_complexity,language_analysis.sentence_structure,language_analysis.avg_words_per_sentence,skill_assessment.function_type,skill_assessment.cognitive_level,skill_assessment.interaction_mode,pedagogical_info.learning_outcome,pedagogical_info.teaching_context,pedagogical_info.assessment_type,technical_details.creation_date,technical_details.dataset_version,technical_details.processing_model
A1_011,A1,cultural encounters,I meet people from different countries. They have different clothes and food. We talk and learn about each other. It is interesting to see other cultures. I like learning new things.,31,28,2,5,6.2,narrative,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_012,A1,personal achievements,I achieve many things. I study hard and get good grades. I play sports and win games. I help my family and friends. I feel proud of myself. I want to keep achieving more in the future.,37,30,2,6,6.166666666666667,narrative,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_013,A1,environmental issues,Environmental issues are a big problem. Pollution hurts the Earth. Trees are cut down. Animals lose their homes. We need to help. Pick up trash. Use less plastic. Recycle cans and bottles. Love the Earth.,35,32,1,9,3.888888888888889,analytical,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_014,A1,technological advances,"Technology is improving every day. People use smartphones to communicate. They can also use computers to work and play games. Robots help with some tasks. The internet lets us find information easily. In the future, technology will continue to get better.",41,36,1,6,6.833333333333333,analytical,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_015,A1,health trends,Many people exercise. They eat vegetables and fruits. They drink water. They sleep well. They feel good. They are healthy. Health trends are important.,24,19,0,7,3.4285714285714284,analytical,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_016,A1,educational changes,"In schools, there are changes. More technology is used. Students learn on computers. Teachers show videos in class. Schools have new programs. Kids are excited to learn. The changes make education better.",32,30,1,7,4.571428571428571,analytical,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_017,A1,economic developments,The economy is growing. People are getting more jobs. Businesses are making more money. Prices are going up a little. This is good for the country. People can buy more things. Everyone is happy about the economic developments.,38,29,3,7,5.428571428571429,analytical,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_018,A1,social movements,Social movements are groups of people who want to make change in society. They march in the streets and hold signs. They want fairness and equality for everyone. People in social movements work together to make their voices heard. They want to create a better world for all.,48,34,0,5,9.6,analytical,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_019,A1,problem analysis,"Problem analysis is important. First, identify the problem. Then, think about possible solutions. Next, choose the best solution. Finally, take action to solve the problem. This process can help solve many problems we face in daily life.",37,33,1,6,6.166666666666667,evaluative,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_020,A1,decision making,"Making decisions is important. First, think about the choices. Next, consider the pros and cons. Finally, choose the best option. Following these steps can help you make good decisions.",29,27,2,5,5.8,evaluative,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_021,A1,comparative evaluation,"Comparative evaluation is when we compare things to see which is better. We look at different things and decide which one we like more. For example, we can compare two books and say which one we think is more interesting. Comparative evaluation helps us make choices and decide what we prefer.",51,34,0,4,12.75,evaluative,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_022,A1,evidence assessment,"When we look at evidence, we check if it is true. We see if it is helpful for our question. We decide if it is strong or weak. We use evidence to make choices. It is important to think carefully about evidence.",42,29,1,5,8.4,evaluative,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_023,A1,logical reasoning,Logical reasoning is using your brain to think in a clear way. You look at facts and make good decisions. It helps you solve problems and understand things better. You can practice logical reasoning by thinking about things step by step. It is important to use logical reasoning in everyday life.,51,38,5,5,10.2,evaluative,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_024,A1,argument construction,"When we have an argument, we can start with an introduction to the topic. Next, we can share our thoughts and reasons. After that, we can listen to the other person's ideas. Finally, we can try to find a solution that works for both of us. It's important to be respectful and listen carefully.",54,40,0,5,10.8,evaluative,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_025,A1,cultural awareness,"Cultural awareness means understanding different customs and traditions. It is important to respect other cultures. We can learn about new things by being open-minded. By learning about other cultures, we can appreciate diversity. It is good to be curious and ask questions to learn more.",45,34,3,5,9.0,cultural,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_026,A1,diversity appreciation,Diversity appreciation is important. People are different in many ways. We should respect and accept each other. We can learn from each other's cultures and traditions. It makes the world a better place. Let's celebrate our differences!,37,34,0,6,6.166666666666667,cultural,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_027,A1,global mindset,A global mindset means thinking about the whole world. People with a global mindset like to learn about different cultures. They want to understand how people in other countries live. A global mindset helps us to be open-minded and respectful towards others.,42,32,2,4,10.5,cultural,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_028,A1,cross-cultural teams,"In cross-cultural teams, people from different countries work together. They learn about each other's cultures. They talk and share ideas. It is important to respect each other's differences. Teamwork helps everyone work well together.",34,29,0,5,6.8,cultural,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_029,A1,international etiquette,"When meeting people from other countries, it is important to be polite. In some places, it is polite to bow or shake hands. In others, it is polite to kiss on the cheek. It is important to say please and thank you. Remember to be respectful of other people's customs.",50,35,1,5,10.0,cultural,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_030,A1,cultural adaptation,"Cultural adaptation means getting used to new customs and traditions. It is important to respect different ways of doing things. People may eat different foods or celebrate holidays in different ways. By learning about other cultures, we can understand and appreciate them better. It's fun to try new things and make friends from different backgrounds.",55,47,4,5,11.0,cultural,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_031,A1,giving instructions,"To give instructions, first, you must speak clearly. Next, show what to do step by step. Use simple words and gestures. Repeat if necessary. Make sure the person understands. Lastly, check if the task is done correctly.",37,34,0,6,6.166666666666667,interpersonal,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_032,A1,making suggestions,"When you have a problem, you can ask for suggestions. You can say, ""What should I do?"" or ""Can you help me?"" Your friend may say, ""Try this"" or ""Maybe you can do that."" It is good to listen to suggestions from others.",43,34,0,5,8.6,interpersonal,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_033,A1,expressing agreement,"I agree with you. Yes, that's right. I think so too. We both think the same. I agree with your idea. I agree with what you say.",27,19,0,6,4.5,interpersonal,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_034,A1,sharing opinions,I like to share my opinions with my friends. I talk about things that I like and don't like. My friends listen and we talk together. It is fun to hear what others think too. Sharing opinions helps us understand each other better.,43,34,1,5,8.6,interpersonal,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_035,A1,making requests,"When you want something, you can ask for it. You can say ""please"" when you make a request. For example, you can say ""Can I have a glass of water, please?"" or ""Could you help me, please?"" It is polite to ask for things nicely.",45,31,0,5,9.0,interpersonal,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_036,A1,offering help,"I help people. I offer my help. I see someone who needs help. I ask, ""Can I help?"" They say, ""Yes, please."" I help them with their problem. They say, ""Thank you."" I feel happy. Helping others is good.",39,29,1,9,4.333333333333333,interpersonal,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_037,A1,childhood memories,I remember playing with my friends in the park. We run and laugh a lot. We also eat ice cream and share toys. It was so much fun! I miss those days. Childhood memories are special.,36,33,1,6,6.0,narrative,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_038,A1,travel adventures,I go on travel adventures. I see new places. I take pictures. I try new food. I meet new people. I have fun. Traveling is exciting.,26,19,1,7,3.7142857142857144,narrative,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_039,A1,career goals,I want to be a teacher. I teach children. I help them learn. I work at a school. I like my job. My goal is to be a good teacher. I will work hard.,34,22,0,7,4.857142857142857,narrative,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_040,A1,learning experiences,"I learn new things every day. I study English. I practice reading and writing. I listen to native speakers. I ask questions. I make mistakes, but that's okay. I keep trying. Learning is fun.",34,28,2,8,4.25,narrative,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_041,A1,cultural encounters,Cultural encounters happen when people from different countries meet. They can learn about each other's traditions and customs. It is important to be respectful and open-minded during these encounters. Sharing food and language can help to build friendships. Cultural exchanges can be fun and educational.,45,37,3,5,9.0,narrative,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_042,A1,personal achievements,I am proud of my achievements. I study hard and get good grades. I can ride a bike without falling. I can cook simple meals like pasta. I can speak a little English. I feel happy when I accomplish something.,40,31,0,6,6.666666666666667,narrative,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_043,A1,environmental issues,"Environmental issues are important. Pollution harms the Earth. We must recycle and save energy. Plant trees to help the environment. Don't litter. Use reusable bags. Turn off lights when not needed. Together, we can make a difference.",37,35,0,8,4.625,analytical,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_044,A1,technological advances,"Technology is getting better all the time. Phones can do many things like take pictures and send messages. Computers are fast and can help people do work. People use the internet to find information and talk to friends. In the future, technology will keep improving.",45,36,1,5,9.0,analytical,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_045,A1,health trends,"Many people like to exercise. They run, walk, or do yoga. Eating healthy food is also important. Some people eat more fruits and vegetables. They drink water and avoid junk food. It is good for their health. Healthy trends are popular now.",42,37,1,7,6.0,analytical,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_046,A1,educational changes,"In schools, there are many changes happening. Teachers are using computers more. Students are learning online. Some classes are smaller now. Kids are wearing masks. Everyone is staying safe. The school day looks different. But we are still learning and growing.",41,35,5,8,5.125,analytical,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_047,A1,economic developments,Economic developments are important. People work to make money. Businesses sell things to make money. Prices can go up or down. Governments try to help the economy grow. People want to have jobs and buy things. It is important to save money and spend wisely.,45,37,0,7,6.428571428571429,analytical,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_048,A1,social movements,Social movements are groups of people who want to change things. They protest to make their voices heard. They march in the streets and share their ideas online. They want to make the world better for everyone. People in social movements work together to create a positive impact.,48,35,0,5,9.6,analytical,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_049,A1,problem analysis,"Problem analysis is important. First, identify the problem. Next, think of solutions. Try different ideas. See what works best. Ask for help if needed. Take your time. Stay calm. You can solve the problem!",34,33,0,9,3.7777777777777777,evaluative,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_050,A1,decision making,"When I make a decision, I think about what is best for me. I look at all my choices and pick the one that feels right. I don't rush my decision. I take my time to think carefully. It's important to make good decisions.",44,35,0,5,8.8,evaluative,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_051,A1,comparative evaluation,"When we compare things, we look at what is the same and different. We can see which is bigger, smaller, faster, or slower. It helps us choose what we like best. Comparing is important to make good decisions.",38,32,1,4,9.5,evaluative,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_052,A1,evidence assessment,"When we look at evidence, we see if it is true. We check if it is reliable. We also see if it is clear. We use evidence to learn about things. It helps us understand what happened. We can trust evidence that is strong.",44,29,0,6,7.333333333333333,evaluative,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_053,A1,logical reasoning,"Logical reasoning is when you use your brain to figure out problems. You think about things in a smart way to find the right answer. It helps you make good decisions. For example, if you see a red light, you know to stop your car. Logical reasoning is important in everyday life.",52,40,3,5,10.4,evaluative,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_054,A1,argument construction,"When you have an argument, you need to have a clear point. Start by saying your idea. Then, give reasons why you think that. Use examples to support your opinion. Finally, finish by restating your main point. This will help make your argument strong and easy to understand.",48,38,3,6,8.0,evaluative,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_055,A1,cultural awareness,Cultural awareness is important. We learn about different cultures. We respect people from other countries. We celebrate diversity. We try new foods and listen to different music. We make new friends from around the world.,35,28,0,6,5.833333333333333,cultural,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_056,A1,diversity appreciation,Diversity is good. People are different but that's okay. We should be kind to everyone. We should learn about other cultures. It is important to respect each other. Diversity makes the world interesting.,33,28,0,6,5.5,cultural,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_057,A1,global mindset,Having a global mindset means thinking about people and places all over the world. It is important to respect different cultures and traditions. We can learn from others and make new friends from different countries. It is good to be open-minded and curious about the world around us.,48,38,3,4,12.0,cultural,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_058,A1,cross-cultural teams,"Cross-cultural teams have people from different countries. They work together and share ideas. It can be fun to learn about new cultures. Sometimes there are misunderstandings, but it's important to communicate. Sharing food and traditions can help team members get along better.",42,39,1,5,8.4,cultural,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_059,A1,international etiquette,"In different countries, people have different customs. It is important to be polite and respectful when meeting new people from other countries. For example, in Japan, it is polite to bow when greeting someone. In France, it is customary to kiss on the cheeks when meeting friends. Remember to always be aware of cultural differences when traveling internationally.",58,41,4,5,11.6,cultural,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_060,A1,cultural adaptation,"Cultural adaptation is when people learn about a new culture and change their behavior to fit in. It is important to respect the customs and traditions of others. When we adapt to a new culture, we can make new friends and have a better understanding of the world. It is fun to try new foods and learn new ways of doing things.",62,41,2,4,15.5,cultural,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_061,A1,giving instructions,"To give instructions, first, you need to speak clearly. Use simple words. Show the person what to do. Repeat if needed. Be patient and kind. They will understand better. Remember to smile!",32,29,1,7,4.571428571428571,interpersonal,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_062,A1,making suggestions,"When you don't know what to do, you can ask for suggestions. You can say ""What do you think?"" or ""Do you have any ideas?"" It's good to listen to others and think about their suggestions. Maybe they have a good idea that you haven't thought of yet. It's always nice to have help from friends.",56,42,0,6,9.333333333333334,interpersonal,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_063,A1,expressing agreement,"I agree with you. I think the same. Yes, that's right. I agree with what you said. I agree with your idea.",22,15,0,5,4.4,interpersonal,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_064,A1,sharing opinions,I like to share my opinions with my friends. I talk about things I like and things I don't like. My friends listen and we have good conversations. It is fun to hear what they think too. Sharing opinions helps us understand each other better.,45,35,1,5,9.0,interpersonal,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_065,A1,making requests,"When you want something, ask nicely. Say please and thank you. For example, ""Can I have a glass of water, please?"" or ""Could you help me, please?"" It's important to be polite when making requests.",35,32,1,5,7.0,interpersonal,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_066,A1,offering help,"I help people. I offer my help when they need it. I ask, ""Can I help you?"" They say, ""Yes, please."" I am happy to help them. Helping others is good.",31,23,2,6,5.166666666666667,interpersonal,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_067,A1,childhood memories,I remember playing with my toys when I was a child. I had a teddy bear that I loved very much. My favorite game was hide and seek with my friends. We used to run around the yard and have a lot of fun. I miss those days.,48,37,3,5,9.6,narrative,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_068,A1,travel adventures,I go on trips to many places. I see new things and meet new people. I take pictures and try new foods. I like to explore different cultures. Travel adventures are fun and exciting.,34,26,0,5,6.8,narrative,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_069,A1,career goals,My career goal is to become a teacher. I like helping students learn new things. I study hard in school to get good grades. I want to work in a school and teach children every day. I think it will be very rewarding.,43,35,1,5,8.6,narrative,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_070,A1,learning experiences,I like learning new things. I study English at school. I read books. I watch videos. I practice speaking. I feel happy when I learn something new. Learning is fun.,30,23,3,7,4.285714285714286,narrative,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_071,A1,cultural encounters,Cultural encounters happen when people from different places meet and share their customs and traditions. They can learn about each other's way of life and try new foods or activities. It is a chance to make new friends and appreciate diversity. Cultural encounters can be fun and interesting for everyone involved.,51,43,1,4,12.75,narrative,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_072,A1,personal achievements,I achieve many things. I learn new skills. I finish tasks at work. I make my family proud. I feel happy when I do well. I try my best in everything I do.,33,25,2,6,5.5,narrative,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_073,A1,environmental issues,Environmental issues are important. Trees are being cut down. Animals are losing their homes. We need to recycle. Pollution is bad. We should not litter. It is important to take care of our planet.,34,29,3,7,4.857142857142857,analytical,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_074,A1,technological advances,Technology is improving every day. People use smartphones to talk and send messages. Computers help us do work and play games. Some cars can drive themselves. People can watch movies and shows on tablets. Technology makes life easier.,38,33,1,6,6.333333333333333,analytical,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_075,A1,health trends,Health trends are very popular now. Many people are eating more fruits and vegetables. They are also exercising regularly. Some people are drinking more water and getting enough sleep. It is important to be healthy and take care of our bodies.,41,34,4,5,8.2,analytical,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_076,A1,educational changes,"In schools, there are many changes happening. Teachers are using new technology to teach. Students are learning in different ways. Some classes are online now. Others are in person. It is important to study hard and keep up with the changes. Education is always growing and changing.",47,38,3,7,6.714285714285714,analytical,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_077,A1,economic developments,The economy is growing. Many people have jobs. Prices are going up. Companies are making more money. People are buying more things. The government is happy about the economy.,29,22,3,6,4.833333333333333,analytical,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_078,A1,social movements,Social movements are when a group of people work together for a cause. They want to make change happen. They protest or march to show they are unhappy. They want things to be different. They want to make the world a better place. People in social movements want to help others.,51,33,0,6,8.5,analytical,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_079,A1,problem analysis,"Problem analysis is important. First, identify the problem. Next, think of solutions. Finally, choose the best solution. This process helps solve problems effectively.",23,22,0,5,4.6,evaluative,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_080,A1,decision making,"When we make decisions, we choose what to do. We think about different options. We think about what we want. We choose the best option. Decisions can be hard sometimes. It's important to think carefully before making a decision.",39,28,2,6,6.5,evaluative,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_081,A1,comparative evaluation,"When comparing two things, we look at what is different and what is similar. We can compare their size, color, shape, or taste. For example, apples and oranges are both fruits, but apples are usually red or green while oranges are orange. We can also say which one we like more, like saying ""I prefer apples to oranges."" Comparing helps us understand things better.",64,49,5,5,12.8,evaluative,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_082,A1,evidence assessment,"When we look for evidence, we check if it is true. We see if it is helpful for our question. We examine if it is clear and easy to understand. This helps us make good decisions.",36,26,0,4,9.0,evaluative,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_083,A1,logical reasoning,"Logical reasoning helps us make sense of the world around us. We use it to think carefully about things and solve problems. By using logical thinking, we can make good decisions and understand how things are connected. It is important to practice logical reasoning to improve our critical thinking skills.",50,40,5,4,12.5,evaluative,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_084,A1,argument construction,"Argument construction is when you make a point and give reasons for it. First, you say your main idea. Then, you explain why you think that. Use facts and examples to support your argument. Make sure your points are clear and easy to understand. Remember to listen to others' opinions too.",51,40,0,6,8.5,evaluative,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_085,A1,cultural awareness,Cultural awareness is important. We should respect other people's traditions. We can learn about different customs and holidays. It helps us understand each other better. We should be open-minded and curious about other cultures.,34,27,1,5,6.8,cultural,foundational,receptive,comprehension,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_086,A1,diversity appreciation,Diversity is good. People are different. We should like everyone. It is important to be kind to others. Different is okay. We can learn from each other. Diversity is good.,30,23,0,7,4.285714285714286,cultural,foundational,productive,production,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_087,A1,global mindset,Having a global mindset means understanding and respecting different cultures. People with a global mindset are open to new ideas and ways of thinking. They enjoy learning about different countries and languages. It helps them communicate better with people from all around the world.,44,36,4,4,11.0,cultural,foundational,receptive,interaction,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_088,A1,cross-cultural teams,Cross-cultural teams work together. They have different backgrounds. They learn from each other. They talk and listen. They respect differences. They solve problems as a team. They are stronger together. They are happy to work together.,36,26,0,8,4.5,cultural,foundational,productive,mediation,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_089,A1,international etiquette,"International etiquette is important. It shows respect for other cultures. When meeting someone new, shake hands and smile. In many countries, it is polite to take off your shoes before entering a home. Always say ""please"" and ""thank you."" Remember to be polite and considerate of others.",47,41,2,6,7.833333333333333,cultural,foundational,receptive,comprehension,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_090,A1,cultural adaptation,"Cultural adaptation is when we learn about and get used to a new culture. We try new foods, listen to different music, and make friends with people from other countries. It can be challenging at first, but with time, we start to feel comfortable and understand the new ways of living.",51,42,2,3,17.0,cultural,foundational,productive,production,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_091,A1,giving instructions,"To give instructions, you can use simple words and short sentences. First, tell someone what to do. For example, say ""Open the door."" Next, show them how to do it. Finally, ask if they understand. It's important to be clear and patient when giving instructions.",45,41,1,6,7.5,interpersonal,foundational,receptive,interaction,individual,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_092,A1,making suggestions,"When you don't know what to do, you can ask for suggestions. You can say, ""What should I do?"" or ""Do you have any ideas?"" Listen to the suggestions and choose one to try. It's good to ask for help when you need it.",44,33,1,5,8.8,interpersonal,foundational,productive,mediation,group,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_093,A1,expressing agreement,"I agree with you. Yes, I think so too. We have the same idea. I agree with what you said. Let's do that. I think you are right.",28,21,0,6,4.666666666666667,interpersonal,foundational,receptive,comprehension,classroom,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_094,A1,sharing opinions,I think sharing opinions is important. I like to talk about my ideas with my friends. They listen to me and I listen to them too. It is good to hear different points of view. I enjoy hearing what others think.,41,32,2,5,8.2,interpersonal,foundational,productive,production,individual,summative,2025-05-05,5.0,gpt-3.5-turbo
A1_095,A1,making requests,"When you want something, you can ask for it politely. You can say, ""Can I have a glass of water, please?"" or ""Could you help me, please?"" It is important to be nice when making requests.",36,29,1,4,9.0,interpersonal,foundational,receptive,interaction,group,formative,2025-05-05,5.0,gpt-3.5-turbo
A1_096,A1,offering help,"If someone needs help, you can ask, ""Can I help you?"" You can offer to carry something heavy or show someone where to go. Helping others is kind and makes people happy. It is important to be polite and friendly when offering help.",43,36,4,4,10.75,interpersonal,foundational,productive,mediation,classroom,summative,2025-05-05,5.0,gpt-3.5-turbo
