sample_id,cefr_level,category,content,word_count,language,content_type,difficulty
A1_59,A1,architecture,"Architecture is the art of designing buildings. Architects create drawings of how buildings will look. They use materials like bricks, concrete, and glass. Buildings can be big or small, old or new. People live, work, and play in buildings. Architecture is important for cities and towns. It makes them look beautiful.",51,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_60,A1,business and finance,Business and finance are important. People buy and sell things. Money is used to pay for things. Companies make products and sell them. People work to earn money. It is important to save money for the future. Businesses need to make a profit to be successful.,46,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_61,A1,pets and animals,"Pets are animals that people keep in their homes. They can be dogs, cats, birds, or fish. Pets need food, water, and love. Dogs like to go for walks and play fetch. Cats like to sleep and chase toys. Birds sing and fly. Fish swim in water. Pets are fun to have around.",53,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_62,A1,music and instruments,I like music. I play guitar. The guitar makes sound. I like to listen to music. I also like to play piano. The piano is big. I play piano at home. Music is fun.,34,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_63,A1,science and discoveries,Science is cool. Scientists learn new things. They make discoveries. They study nature and the world. They find out how things work. They use tools like microscopes and telescopes. Discoveries help us understand the world better. Science is fun!,39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_64,A1,books and literature,"Books are stories. They have words and pictures. People read books for fun. Some books have many pages, some have few pages. Books can be about anything - animals, people, places. Reading books is good for learning. I read books every day.",42,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_65,A1,movies and cinema,I like movies. Movies are fun. I watch movies at the cinema. I eat popcorn. The screen is big. The sound is loud. I watch with friends. I like action movies. Action movies are exciting. I go to the cinema on weekends.,42,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_66,A1,cars and vehicles,"Cars are vehicles. They have wheels and drive on roads. Some cars are red, some are blue. People drive cars to go to work or go shopping. Cars need gas to run. My dad drives a car to work every day.",41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_67,A1,photography,Photography is taking pictures with a camera. I take photos of my family and friends. I use my phone to take pictures. I like to capture happy moments. I am learning how to take better photos. I want to improve my photography skills.,43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_68,A1,space and astronomy,The sun is big. It is hot. The moon is small. It is white. Stars are in the sky. They are bright. Astronauts go to space. They wear helmets. Telescopes help us see planets. Space is interesting.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_69,A1,architecture,Architecture is the design of buildings. Architects draw plans for houses and skyscrapers. They use materials like brick and glass. Buildings have many rooms like bedrooms and kitchens. People live and work in buildings. Architecture is important for cities and towns.,41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_70,A1,business and finance,Business is about selling things and making money. Finance is about managing money. Companies need to make smart decisions to be successful. They must have a plan for how to spend and save money. It is important to keep track of all the money that comes in and goes out. This helps businesses stay strong.,55,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_71,A1,pets and animals,"Pets are animals we keep at home. They can be dogs, cats, birds, or fish. Pets need food, water, and love. We play with them and take care of them. Pets make us happy. Some people have more than one pet. Pets are our friends.",45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_72,A1,music and instruments,Music is fun. I like instruments. I play the guitar. The guitar sounds nice. I also like the piano. The piano is big. I listen to music every day. Music makes me happy.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_73,A1,science and discoveries,Science is important. Scientists study things. They make discoveries. Discoveries help us learn new things. We can learn about space and animals. We can learn about the Earth. Science is fun and interesting.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_74,A1,books and literature,Books are good. I like to read. I read many books. Books teach me things. I read stories. I learn new words. Books are fun. I like literature.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_75,A1,movies and cinema,I watch movies at the cinema. I like action movies. The actors are good. The popcorn is tasty. The seats are comfy. I go with my friends. We have fun. I want to watch more movies.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_76,A1,cars and vehicles,"Cars have four wheels. They drive on roads. People sit inside cars. Cars have engines. They go fast. Some cars are small, some are big. I like cars.",28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_77,A1,photography,"I like photography. I take pictures with my camera. I see something nice, I take a photo. I look at the photos on my computer. I show them to my friends. They like them too. I want to take more pictures.",41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_78,A1,space and astronomy,Space is big. There are stars in space. The sun is a star. The moon is not a star. Astronomers study space. Telescopes help astronomers see far away. Space is interesting. People like to learn about space.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_79,A1,architecture,"Architects design buildings. They draw plans. They use different materials like bricks, wood, and glass. Buildings have walls, windows, and doors. Some buildings are tall, like skyscrapers. Others are small, like houses. People live and work in buildings. Architecture is important for cities.",43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_80,A1,business and finance,Businesses make money by selling products or services. They need to earn more than they spend to be successful. Finance is about managing money. Companies use finance to plan how to spend and save their money. It is important for businesses to have good financial plans to be profitable.,49,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_81,A1,pets and animals,Pets are animals we keep at home. They give us love and make us happy. Dogs and cats are common pets. We feed them and take care of them. It is important to give them food and water every day. Pets like to play and need exercise too.,48,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_82,A1,music and instruments,I like music. Music is fun. I play guitar. My friend plays drums. We make music together. I listen to music every day. I like to sing. Music makes me happy.,31,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_83,A1,science and discoveries,"Science is important. Scientists discover new things. They learn about how the world works. They use experiments to find out more. Discoveries help us understand the world better. We can learn about animals, plants, and space. Science is interesting and fun.",41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_84,A1,books and literature,Books are good. I read books. Books have words. Words are cool. I like stories. Stories are fun. I like to read books. Books are great. I read every day.,30,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_85,A1,movies and cinema,I like movies. I watch movies at the cinema. The cinema has big screens. I eat popcorn at the cinema. The movies are fun. I go to the cinema with my friends. I like action movies. Action movies have lots of excitement. I enjoy watching movies.,46,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_86,A1,cars and vehicles,Cars are vehicles. They have four wheels. Cars can go fast. Some cars are red. My mom drives a car. My dad drives a truck. I like cars.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_87,A1,photography,Photography is fun. I take pictures with my camera. I like to capture moments. I smile when I see a good photo. My friends like my pictures. I want to learn more about photography.,34,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_88,A1,space and astronomy,Space is very big. The sun is a star. There are many planets. Earth is one of them. The moon goes around Earth. People study space. Telescopes help them see far. Stars are very bright. Space is interesting.,38,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_89,A1,architecture,Architecture is about building things like houses and buildings. Architects draw plans for how things will look. They use materials like bricks and wood. Buildings can be big or small. Some buildings are old and some are new. People live and work in buildings. Architecture is important for designing safe and comfortable spaces.,53,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_90,A1,business and finance,Businesses make money by selling products or services. They need to make a profit to stay open. Finance is about managing money. Companies need to budget carefully and pay their bills on time. It is important to save money for emergencies. Businesses can also borrow money from banks to grow.,50,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_91,A1,pets and animals,"Pets are animals we keep at home. They can be cats, dogs, birds, or fish. Pets need food, water, and love. Dogs like to go for walks. Cats like to sleep and play. Birds sing and fly. Fish swim in water. Pets are our friends.",45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_92,A1,music and instruments,I like music. I play the guitar. The guitar has strings. I strum the strings. It makes sound. I like to listen to music too. Music is fun.,28,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_93,A1,science and discoveries,Scientists study many things. They find new discoveries. Discoveries help us learn more about the world. They use tools and experiments. Scientists work hard every day. They make new things possible. Science is important for our future.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_94,A1,books and literature,Books are very interesting. They have many words. I read books every day. I like to read stories. Stories are fun. I learn new things from books. Books help me to relax. I enjoy reading books.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_95,A1,movies and cinema,Movies are fun. I watch movies at the cinema. I like action movies. My favorite actor is Tom Cruise. Popcorn is tasty at the movies. I go with my friends to watch movies. Cinema is a good place. I enjoy watching movies.,42,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_96,A1,cars and vehicles,"Cars are vehicles. They have wheels and engines. People drive cars to go places. Cars can be different colors. Some cars are big, and some cars are small. I like red cars.",32,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_97,A1,photography,Photography is fun. I take pictures. I use a camera. I like to capture moments. I smile in photos. I show my friends. They like my pictures. I want to learn more. Photographs are special.,35,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_98,A1,space and astronomy,The sun is a big star. It is very hot. The moon goes around the Earth. Stars are in the sky at night. Telescopes help us see far away. Astronauts go to space in rockets. Space is very big and interesting.,41,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_99,A1,architecture,"Architecture is the design of buildings. Architects draw plans. They use different materials like wood, stone, and metal. Buildings can be big or small. Some have lots of windows. Others have a flat roof. People live and work in buildings. They protect us from the weather. Buildings can be old or new.",52,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_100,A1,business and finance,Businesses make money by selling products or services. They need to make a profit to survive. Companies can borrow money from banks to grow their business. It is important to keep track of expenses and income. Good financial management is key to success in business.,45,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_101,A1,pets and animals,"Pets are animals we keep at home. They can be dogs, cats, or fish. Pets need food, water, and love. They like to play and cuddle. Dogs bark and wag their tails. Cats meow and purr. Fish swim in water. Pets make us happy.",44,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_102,A1,music and instruments,I like music. I play the piano. The piano has black and white keys. I press the keys to make sounds. I also like the guitar. The guitar has strings. I strum the strings to make music. Music is fun.,40,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_103,A1,science and discoveries,Scientists study things. They discover new things. They learn about the world. They find out how things work. Science helps us understand. We use science every day. It is important. Scientists make many discoveries. They help us live better.,39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_104,A1,books and literature,I like to read books. Books have stories. Stories are interesting. I read books every day. I go to the library to get books. I enjoy reading about different things. Books are fun.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_105,A1,movies and cinema,Movies are fun to watch. I go to the cinema with my friends. We buy popcorn and soda. The movie starts at 7 pm. I like action movies. They are exciting. I watch movies every weekend.,36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_106,A1,cars and vehicles,"Cars are vehicles. They have four wheels. They can go fast. They need fuel to run. Some cars are red, some are blue. People drive cars to go to work or go shopping. I like cars.",36,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_107,A1,photography,I like photography. I use my camera to take pictures. I take photos of my family and friends. I also like to take pictures of nature. I enjoy looking at the photos I have taken. Photography is fun for me.,40,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_108,A1,space and astronomy,Space is very big. There are many stars and planets in space. The sun is a big star. People study space with telescopes. They learn about stars and planets. Space is very interesting.,33,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_109,A1,architecture,"Architecture is the design of buildings. Architects draw plans for houses, offices, and other structures. They use materials like wood, metal, and concrete. Buildings have walls, windows, and doors. Some buildings are tall, like skyscrapers. Others are small, like cottages. People live, work, and play in buildings. Architecture is important for cities and towns.",54,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_110,A1,business and finance,Businesses sell products and services to make money. They need to keep track of their expenses and profits. Finance is about managing money. A budget helps businesses plan how to spend their money. It is important for businesses to make good financial decisions to be successful.,46,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_111,A1,pets and animals,I have a pet cat. She is black and white. Her name is Mittens. Mittens likes to play with yarn. She meows when she is hungry. I feed her fish-flavored food. Mittens sleeps a lot during the day. I love my cat.,42,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_112,A1,music and instruments,I like music. Music is fun. I play the guitar. The guitar is cool. I strum the strings. I make music. I also like the drums. The drums are loud. Music is good. I enjoy playing instruments.,37,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_113,A1,science and discoveries,"Scientists study many things. They make discoveries. Discoveries help us learn new things. We learn about animals, plants, and the Earth. Scientists use tools like microscopes and telescopes. They work in labs and in nature. Science is important for understanding the world.",42,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_114,A1,books and literature,Books are fun. I like to read. I read stories. Stories are interesting. I learn new things. I read books every day. I have many books. I like to go to the library. The library has many books. I like books and literature.,43,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_115,A1,movies and cinema,I like movies. I watch movies at the cinema. The cinema has big screens. The movies are fun. I eat popcorn at the cinema. Popcorn is tasty. I go to the cinema with my friends. We watch action movies. Action movies are exciting. I like going to the cinema.,49,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
A1_116,A1,cars and vehicles,"Cars are vehicles. They have four wheels. Cars can go fast. Some cars are red, some are blue. Cars can drive on roads. People drive cars. Cars need gas to run. You can buy a car at a dealership.",39,English,paragraph,"beginner level, very simple present tense, basic vocabulary, short sentences"
